"2017-05-01 16:57:05,934",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 17:00:32,019","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,49.07,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 17:04:02,176","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.65,500,100,50,0,0,1001,0,1001,0,1000
"2017-05-01 17:07:29,793","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.04,500,100,50,0,0,1001,0,1001,0,1000
"2017-05-01 17:10:58,124","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.35,500,100,50,0,0,1000,0,1002,0,1003
"2017-05-01 17:14:25,207","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.86,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 17:17:55,246","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.33,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 17:21:23,327","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.93,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 17:24:58,110","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.40,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 17:28:32,773","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.00,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 17:32:08,078","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,50.01,500,100,50,0,0,1000,0,1001,0,1002
"2017-05-01 17:35:29,410","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.49,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 17:38:59,149","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.95,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 17:42:29,445","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,49.26,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 17:45:54,863","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.47,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 17:49:24,537","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.87,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 17:52:49,285","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.22,500,100,50,0,0,1000,0,1002,0,1001
"2017-05-01 17:56:13,987","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.88,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 17:59:43,342","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.46,500,100,50,0,0,1002,0,1000,0,1000
"2017-05-01 18:03:18,819","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.32,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 18:06:47,670","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.91,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 18:10:15,852","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.72,500,100,50,0,0,1000,0,1003,0,1000
"2017-05-01 18:13:46,460","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,47.93,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 18:17:11,270","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.95,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 18:20:37,762","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,48.15,500,100,50,0,0,1001,0,1001,0,1000
"2017-05-01 18:24:03,371","16,16,16","20,20,20",182,7,7,7,True,LinearRegression,46.07,500,100,50,0,0,1003,0,1000,0,1001
