"2017-05-04 09:02:12,715",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 09:05:46,907","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.88,108,1480,597,370,108
"2017-05-04 09:09:24,736","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.94,104,1480,585,370,104
"2017-05-04 09:13:02,286","20,20","50,50",102,12,12,12,True,LinearRegression,4,19.52,93,1480,601,370,93
"2017-05-04 09:16:34,949","20,20","50,50",102,12,12,12,True,LinearRegression,4,19.00,91,1480,597,370,91
"2017-05-04 09:20:13,739","20,20","50,50",102,12,12,12,True,LinearRegression,4,20.10,90,1480,615,370,90
"2017-05-04 09:23:47,855","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.57,99,1480,626,370,99
"2017-05-04 09:27:20,448","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.19,101,1480,618,370,101
"2017-05-04 09:30:51,629","20,20","50,50",102,12,12,12,True,LinearRegression,4,13.54,107,1480,613,370,107
"2017-05-04 09:34:25,395","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.07,92,1480,561,370,92
"2017-05-04 09:37:54,754","20,20","50,50",102,12,12,12,True,LinearRegression,4,14.25,108,1480,620,370,108
"2017-05-04 09:41:32,728","20,20","50,50",102,12,12,12,True,LinearRegression,4,19.21,96,1480,620,370,96
"2017-05-04 09:45:10,343","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.32,106,1480,594,370,106
"2017-05-04 09:48:45,782","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.26,104,1480,611,370,104
"2017-05-04 09:52:17,835","20,20","50,50",102,12,12,12,True,LinearRegression,4,14.30,111,1480,630,370,111
"2017-05-04 09:55:50,802","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.61,100,1480,595,370,100
"2017-05-04 09:59:23,710","20,20","50,50",102,12,12,12,True,LinearRegression,4,14.79,102,1480,600,370,102
"2017-05-04 10:02:59,037","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.01,102,1480,595,370,102
"2017-05-04 10:06:38,575","20,20","50,50",102,12,12,12,True,LinearRegression,4,20.66,98,1480,608,370,98
"2017-05-04 10:10:12,855","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.58,98,1480,595,370,98
"2017-05-04 10:13:48,378","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.86,106,1480,627,370,106
"2017-05-04 10:17:31,021","20,20","50,50",102,12,12,12,True,LinearRegression,4,21.12,100,1480,596,370,100
"2017-05-04 10:21:10,016","20,20","50,50",102,12,12,12,True,LinearRegression,4,19.51,91,1480,613,370,91
"2017-05-04 10:24:50,066","20,20","50,50",102,12,12,12,True,LinearRegression,4,20.76,107,1480,621,370,107
"2017-05-04 10:28:27,655","20,20","50,50",102,12,12,12,True,LinearRegression,4,19.83,97,1480,606,370,97
"2017-05-04 10:32:01,772","20,20","50,50",102,12,12,12,True,LinearRegression,4,17.35,103,1480,601,370,103
