"2017-05-02 19:38:48,139",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 19:39:23,699","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,19.95,32,32,200,0,2,66,1,116,0,151
"2017-05-02 19:39:57,550","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.64,32,32,200,0,3,62,1,96,0,141
"2017-05-02 19:40:31,000","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.24,32,32,200,0,6,57,0,101,0,142
"2017-05-02 19:41:04,541","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.45,32,32,200,0,3,55,1,99,0,143
"2017-05-02 19:41:38,098","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.48,32,32,200,0,3,55,0,106,0,143
"2017-05-02 19:42:11,697","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.44,32,32,200,0,0,68,0,103,0,143
"2017-05-02 19:42:45,194","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.45,32,32,200,0,7,47,0,98,0,128
"2017-05-02 19:43:18,395","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.30,32,32,200,0,2,58,0,105,0,147
"2017-05-02 19:43:51,462","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.19,32,32,200,0,4,47,1,93,0,128
"2017-05-02 19:44:25,548","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.98,32,32,200,0,4,56,0,100,0,143
"2017-05-02 19:44:59,186","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.32,32,32,200,0,5,57,1,93,0,139
"2017-05-02 19:45:32,767","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.65,32,32,200,0,2,65,0,115,0,145
"2017-05-02 19:46:06,002","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.27,32,32,200,0,7,43,2,70,0,112
"2017-05-02 19:46:39,361","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.34,32,32,200,0,4,60,0,96,0,139
"2017-05-02 19:47:12,794","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.34,32,32,200,0,5,60,1,88,0,133
"2017-05-02 19:47:46,121","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.24,32,32,200,0,8,54,0,102,0,143
"2017-05-02 19:48:19,178","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.14,32,32,200,0,0,61,0,99,0,146
"2017-05-02 19:48:52,452","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.41,32,32,200,0,1,63,0,112,0,141
"2017-05-02 19:49:25,922","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.40,32,32,200,0,1,56,0,108,0,152
"2017-05-02 19:49:59,763","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.53,32,32,200,0,5,37,2,81,0,128
"2017-05-02 19:50:33,022","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.26,32,32,200,0,4,61,1,106,0,148
"2017-05-02 19:51:06,106","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.06,32,32,200,0,4,57,0,110,0,146
"2017-05-02 19:51:39,707","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.26,32,32,200,0,3,57,1,93,0,136
"2017-05-02 19:52:12,627","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.01,32,32,200,0,2,65,0,108,0,143
"2017-05-02 19:52:46,182","30,30,30","30,20,20",110,4,0,0,True,LinearRegression,18.33,32,32,200,0,6,47,0,83,0,129
