"2017-05-04 15:35:55,290",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 15:40:55,645","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,31.63,87,1480,628,1480,552,370,87
"2017-05-04 15:45:58,839","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,31.61,95,1480,610,1480,535,370,95
"2017-05-04 15:50:57,992","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.48,87,1480,608,1480,588,370,87
"2017-05-04 15:56:04,159","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,35.89,102,1480,621,1480,564,370,102
"2017-05-04 16:01:13,888","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,35.05,98,1480,609,1480,517,370,98
"2017-05-04 16:06:13,751","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,29.68,86,1480,587,1480,573,370,86
"2017-05-04 16:11:13,312","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,28.28,83,1480,578,1480,543,370,83
"2017-05-04 16:16:08,947","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.97,92,1480,583,1480,568,370,92
"2017-05-04 16:21:04,382","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.22,89,1480,603,1480,572,370,89
"2017-05-04 16:25:58,517","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.13,103,1480,626,1480,595,370,103
"2017-05-04 16:31:00,095","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.39,87,1480,632,1480,566,370,87
"2017-05-04 16:36:02,846","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,34.44,100,1480,605,1480,559,370,100
"2017-05-04 16:41:05,255","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,31.62,95,1480,634,1480,561,370,95
"2017-05-04 16:46:01,406","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.30,95,1480,592,1480,579,370,95
"2017-05-04 16:51:02,378","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.81,98,1480,593,1480,553,370,98
"2017-05-04 16:56:07,310","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,34.15,93,1480,594,1480,550,370,93
"2017-05-04 17:01:11,689","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.65,95,1480,607,1480,541,370,95
"2017-05-04 17:06:13,569","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.32,92,1480,610,1480,558,370,92
"2017-05-04 17:11:21,351","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,33.87,94,1480,612,1480,578,370,94
"2017-05-04 17:16:20,906","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,30.07,92,1480,621,1480,567,370,92
"2017-05-04 17:21:16,933","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,25.70,88,1480,616,1480,546,370,88
"2017-05-04 17:26:12,675","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.98,100,1480,617,1480,544,370,100
"2017-05-04 17:31:07,380","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,26.38,91,1480,614,1480,539,370,91
"2017-05-04 17:36:03,927","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,27.42,89,1480,616,1480,553,370,89
"2017-05-04 17:41:02,132","20,20,20","50,50,50",102,12,12,12,True,LinearRegression,4,28.56,82,1480,606,1480,549,370,82
