"2017-05-04 09:00:44,287",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 09:04:23,182","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.87,109,1480,622,370,109
"2017-05-04 09:07:59,021","20,20","50,50",102,12,12,12,True,LinearRegression,4,13.55,99,1480,586,370,99
"2017-05-04 09:11:38,872","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.11,92,1480,620,370,92
"2017-05-04 09:15:15,543","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.46,93,1480,587,370,93
"2017-05-04 09:18:50,970","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.01,97,1480,601,370,97
"2017-05-04 09:22:28,063","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.59,96,1480,617,370,96
"2017-05-04 09:26:09,164","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.28,99,1480,588,370,99
"2017-05-04 09:29:50,274","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.16,89,1480,626,370,89
"2017-05-04 09:33:27,992","20,20","50,50",102,12,12,12,True,LinearRegression,4,14.63,95,1480,588,370,95
"2017-05-04 09:37:06,171","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.25,110,1480,587,370,110
"2017-05-04 09:40:43,123","20,20","50,50",102,12,12,12,True,LinearRegression,4,14.92,100,1480,610,370,100
"2017-05-04 09:44:20,104","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.52,102,1480,605,370,102
"2017-05-04 09:48:03,633","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.86,91,1480,608,370,91
"2017-05-04 09:51:46,441","20,20","50,50",102,12,12,12,True,LinearRegression,4,18.97,112,1480,593,370,112
"2017-05-04 09:55:25,652","20,20","50,50",102,12,12,12,True,LinearRegression,4,17.37,92,1480,635,370,92
"2017-05-04 09:59:00,192","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.38,117,1480,616,370,117
"2017-05-04 10:02:37,463","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.66,107,1480,595,370,107
"2017-05-04 10:06:14,748","20,20","50,50",102,12,12,12,True,LinearRegression,4,17.08,107,1480,607,370,107
"2017-05-04 10:09:51,478","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.64,92,1480,606,370,92
"2017-05-04 10:13:27,366","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.69,103,1480,604,370,103
"2017-05-04 10:17:03,287","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.39,111,1480,634,370,111
"2017-05-04 10:20:47,269","20,20","50,50",102,12,12,12,True,LinearRegression,4,20.03,103,1480,604,370,103
"2017-05-04 10:24:27,495","20,20","50,50",102,12,12,12,True,LinearRegression,4,17.58,102,1480,610,370,102
"2017-05-04 10:28:08,754","20,20","50,50",102,12,12,12,True,LinearRegression,4,16.27,101,1480,581,370,101
"2017-05-04 10:31:47,480","20,20","50,50",102,12,12,12,True,LinearRegression,4,15.82,103,1480,610,370,103
