"2017-05-02 20:21:43,965",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-02 20:22:54,228","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,39.34,32,32,200,0,5,53,15,29,20,15,24,8,25,7
"2017-05-02 20:24:02,437","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.16,32,32,200,0,10,48,12,32,15,25,23,11,24,10
"2017-05-02 20:25:10,648","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.17,32,32,200,0,6,57,12,32,18,26,21,13,22,11
"2017-05-02 20:26:19,575","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.57,32,32,200,0,4,47,12,29,15,27,24,13,29,7
"2017-05-02 20:27:27,398","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.84,32,32,200,0,4,53,21,18,21,16,24,12,23,13
"2017-05-02 20:28:36,178","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.61,32,32,200,0,3,57,15,24,18,21,19,18,22,15
"2017-05-02 20:29:44,603","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.35,32,32,200,0,2,64,9,36,22,15,24,9,25,7
"2017-05-02 20:30:53,291","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.69,32,32,200,0,6,50,19,22,27,10,29,6,29,6
"2017-05-02 20:32:01,683","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.16,32,32,200,0,8,50,13,34,19,21,20,14,23,9
"2017-05-02 20:33:10,731","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,39.05,32,32,200,0,2,60,8,45,14,25,18,21,23,14
"2017-05-02 20:34:18,512","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.89,32,32,200,0,7,45,13,25,23,10,23,9,24,8
"2017-05-02 20:35:26,596","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.39,32,32,200,0,9,46,18,18,22,10,25,7,26,6
"2017-05-02 20:36:36,479","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,39.61,32,32,200,0,5,56,10,43,17,22,18,19,27,6
"2017-05-02 20:37:44,735","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.05,32,32,200,0,4,54,13,29,22,13,20,15,23,13
"2017-05-02 20:38:53,913","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,39.44,32,32,200,0,5,53,12,29,17,21,18,18,18,18
"2017-05-02 20:40:02,296","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.30,32,32,200,0,6,50,21,16,22,12,22,11,25,7
"2017-05-02 20:41:11,127","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.84,32,32,200,0,5,57,11,35,13,23,22,12,26,8
"2017-05-02 20:42:19,263","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,38.16,32,32,200,0,5,61,7,45,18,17,20,15,24,10
"2017-05-02 20:43:26,959","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.87,32,32,200,0,9,39,15,28,16,21,21,15,23,12
"2017-05-02 20:44:37,313","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,39.54,32,32,200,0,10,39,23,15,26,10,27,8,26,7
"2017-05-02 20:45:58,928","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,45.31,32,32,200,0,1,56,14,29,18,18,20,13,26,6
"2017-05-02 20:47:24,145","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,49.38,32,32,200,0,4,55,6,40,14,25,19,17,24,11
"2017-05-02 20:48:50,649","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,50.49,32,32,200,0,4,54,11,34,16,27,22,16,24,10
"2017-05-02 20:50:13,457","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,46.58,32,32,200,0,8,52,13,24,19,18,26,9,29,5
"2017-05-02 20:51:33,583","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,45.12,32,32,200,0,7,49,11,38,15,25,21,16,23,12
