"2017-05-03 23:20:24,441",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-03 23:24:22,884","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,37.57,99,1480,689,1480,630,370,99
"2017-05-03 23:28:23,690","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,45.89,116,1480,690,1480,629,370,116
"2017-05-03 23:32:22,056","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,42.52,88,1480,707,1480,647,370,88
"2017-05-03 23:36:25,350","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,41.67,96,1480,686,1480,641,370,96
"2017-05-03 23:40:24,601","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,37.24,96,1480,710,1480,656,370,96
"2017-05-03 23:44:22,707","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,41.72,106,1480,697,1480,616,370,106
"2017-05-03 23:48:25,504","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,44.89,104,1480,698,1480,630,370,104
"2017-05-03 23:52:24,348","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,38.27,100,1480,697,1480,626,370,100
"2017-05-03 23:56:17,112","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,30.80,90,1480,703,1480,613,370,90
"2017-05-04 00:00:19,797","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,44.58,99,1480,684,1480,633,370,99
"2017-05-04 00:04:16,436","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,37.20,94,1480,679,1480,659,370,94
"2017-05-04 00:08:20,499","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,46.66,86,1480,707,1480,650,370,86
"2017-05-04 00:12:24,113","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,40.73,109,1480,677,1480,618,370,109
"2017-05-04 00:16:17,501","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,35.76,108,1480,698,1480,630,370,108
"2017-05-04 00:20:08,445","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,33.68,109,1480,668,1480,639,370,109
"2017-05-04 00:24:12,335","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,47.55,91,1480,681,1480,624,370,91
"2017-05-04 00:28:11,240","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,36.51,97,1480,695,1480,648,370,97
"2017-05-04 00:32:05,059","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,31.49,89,1480,700,1480,646,370,89
"2017-05-04 00:35:51,520","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,29.85,99,1480,687,1480,636,370,99
"2017-05-04 00:39:53,938","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,39.43,94,1480,707,1480,630,370,94
"2017-05-04 00:43:55,686","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,44.97,104,1480,708,1480,609,370,104
"2017-05-04 00:47:57,053","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,40.47,105,1480,686,1480,631,370,105
"2017-05-04 00:51:44,294","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,30.69,108,1480,667,1480,629,370,108
"2017-05-04 00:55:37,233","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,30.19,98,1480,697,1480,619,370,98
"2017-05-04 00:59:29,964","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,37.79,102,1480,677,1480,663,370,102
