"2017-05-01 15:30:34,264",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 15:34:07,236","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.22,500,100,50,0,0,1009,0,1045,0,1013
"2017-05-01 15:37:43,086","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.19,500,100,50,0,0,1060,0,1037,0,1009
"2017-05-01 15:41:17,216","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.64,500,100,50,0,0,1011,0,1013,0,1012
"2017-05-01 15:44:50,112","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.71,500,100,50,0,0,1000,0,1058,0,1003
"2017-05-01 15:48:19,626","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.67,500,100,50,0,0,1021,0,1339,0,1018
"2017-05-01 15:51:53,699","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.82,500,100,50,0,0,1005,0,1043,0,1028
"2017-05-01 15:55:19,858","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,45.29,500,100,50,0,0,1002,0,1021,0,1034
"2017-05-01 15:58:48,086","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.35,500,100,50,0,0,1001,0,1007,0,1030
"2017-05-01 16:02:07,668","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,43.98,500,100,50,0,0,1013,0,1015,0,1011
"2017-05-01 16:05:28,612","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,44.25,500,100,50,0,0,1001,0,1010,0,1045
"2017-05-01 16:08:52,106","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,44.17,500,100,50,0,0,1001,0,1010,0,1017
"2017-05-01 16:12:07,824","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,43.71,500,100,50,0,0,1003,0,1032,0,1343
"2017-05-01 16:15:19,812","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,43.22,500,100,50,0,0,1004,0,1008,0,1014
"2017-05-01 16:18:30,367","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,42.24,500,100,50,0,0,1006,0,1055,0,1015
"2017-05-01 16:22:01,450","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.46,500,100,50,0,0,1003,0,1108,0,1012
"2017-05-01 16:25:31,622","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.56,500,100,50,0,0,1003,0,1171,0,1000
"2017-05-01 16:29:04,128","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.20,500,100,50,0,0,1003,0,1022,0,1010
"2017-05-01 16:32:32,993","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.70,500,100,50,0,0,1004,0,1004,0,1110
"2017-05-01 16:36:02,716","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.71,500,100,50,0,0,1003,0,1106,0,1007
"2017-05-01 16:39:29,350","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.20,500,100,50,0,0,1009,0,1007,0,1058
"2017-05-01 16:42:57,331","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.08,500,100,50,0,0,1003,0,1020,0,1034
"2017-05-01 16:46:27,797","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,46.78,500,100,50,0,0,1000,0,1007,0,1023
"2017-05-01 16:49:59,447","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,47.38,500,100,50,0,0,1002,0,1050,0,1031
"2017-05-01 16:53:32,422","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,48.93,500,100,50,0,0,1001,0,1020,0,1043
"2017-05-01 16:57:04,971","16,16,16","20,20,20",54,7,7,7,True,LinearRegression,48.52,500,100,50,0,0,1001,0,1141,0,1004
